region,category,parameter,mode,powertrain,year,unit,value
New Zealand,Historical,EV sales,Cars,PHEV,2012,sales,5
New Zealand,Historical,EV sales,Cars,BEV,2012,sales,22
New Zealand,Historical,EV sales,Cars,BEV,2013,sales,30
New Zealand,Historical,EV sales,Cars,PHEV,2013,sales,6
New Zealand,Historical,EV sales,Cars,PHEV,2014,sales,207
New Zealand,Historical,EV sales,Cars,BEV,2014,sales,112
New Zealand,Historical,EV sales,Cars,BEV,2015,sales,295
New Zealand,Historical,EV sales,Cars,PHEV,2015,sales,199
New Zealand,Historical,EV sales,Cars,PHEV,2016,sales,340
New Zealand,Historical,EV sales,Cars,BEV,2016,sales,1162
New Zealand,Historical,EV sales,Cars,BEV,2017,sales,2935
New Zealand,Historical,EV sales,Cars,PHEV,2017,sales,537
New Zealand,Historical,EV sales,Cars,PHEV,2018,sales,1185
New Zealand,Historical,EV sales,Cars,BEV,2018,sales,4356
New Zealand,Historical,EV sales,Cars,BEV,2019,sales,5280
New Zealand,Historical,EV sales,Cars,PHEV,2019,sales,1604
New Zealand,Historical,EV sales,Cars,PHEV,2020,sales,1458
New Zealand,Historical,EV sales,Cars,BEV,2020,sales,3908
New Zealand,Historical,EV sales,Cars,BEV,2021,sales,6751
New Zealand,Historical,EV sales,Cars,PHEV,2021,sales,3549
Norway,Historical,EV sales,Cars,BEV,2010,sales,355
Norway,Historical,EV sales,Cars,BEV,2011,sales,1996
Norway,Historical,EV sales,Cars,BEV,2012,sales,3948
Norway,Historical,EV sales,Cars,PHEV,2012,sales,322
Norway,Historical,EV sales,Cars,PHEV,2013,sales,344
Norway,Historical,EV sales,Cars,BEV,2013,sales,7885
Norway,Historical,EV sales,Cars,BEV,2014,sales,18091
Norway,Historical,EV sales,Cars,PHEV,2014,sales,1684
Norway,Historical,EV sales,Cars,PHEV,2015,sales,7982
Norway,Historical,EV sales,Cars,BEV,2015,sales,25779
Norway,Historical,EV sales,Cars,BEV,2016,sales,24222
Norway,Historical,EV sales,Cars,PHEV,2016,sales,20665
Norway,Historical,EV sales,Cars,PHEV,2017,sales,29232
Norway,Historical,EV sales,Cars,BEV,2017,sales,33023
Norway,Historical,EV sales,Cars,BEV,2018,sales,46091
Norway,Historical,EV sales,Cars,PHEV,2018,sales,26574
Norway,Historical,EV sales,Cars,PHEV,2019,sales,19290
Norway,Historical,EV sales,Cars,BEV,2019,sales,60271
Norway,Historical,EV sales,Cars,BEV,2020,sales,76779
Norway,Historical,EV sales,Cars,PHEV,2020,sales,28912
Norway,Historical,EV sales,Cars,PHEV,2021,sales,38177
Norway,Historical,EV sales,Cars,BEV,2021,sales,113715
Other Europe,Historical,EV sales,Cars,PHEV,2011,sales,19
Other Europe,Historical,EV sales,Cars,BEV,2011,sales,871
Other Europe,Historical,EV sales,Cars,BEV,2012,sales,1354
Other Europe,Historical,EV sales,Cars,PHEV,2012,sales,358
Other Europe,Historical,EV sales,Cars,PHEV,2013,sales,270
Other Europe,Historical,EV sales,Cars,BEV,2013,sales,1110
Other Europe,Historical,EV sales,Cars,BEV,2014,sales,2738
Other Europe,Historical,EV sales,Cars,PHEV,2014,sales,788
Other Europe,Historical,EV sales,Cars,PHEV,2015,sales,1862
Other Europe,Historical,EV sales,Cars,BEV,2015,sales,3312
Other Europe,Historical,EV sales,Cars,BEV,2016,sales,5414
Other Europe,Historical,EV sales,Cars,PHEV,2016,sales,2286
Other Europe,Historical,EV sales,Cars,PHEV,2017,sales,4167
Other Europe,Historical,EV sales,Cars,BEV,2017,sales,8772
Other Europe,Historical,EV sales,Cars,BEV,2018,sales,12754
Other Europe,Historical,EV sales,Cars,PHEV,2018,sales,5239
Other Europe,Historical,EV sales,Cars,PHEV,2019,sales,7448
Other Europe,Historical,EV sales,Cars,BEV,2019,sales,20346
Other Europe,Historical,EV sales,Cars,BEV,2020,sales,36494
Other Europe,Historical,EV sales,Cars,PHEV,2020,sales,20965
Other Europe,Historical,EV sales,Cars,PHEV,2021,sales,41351
Other Europe,Historical,EV sales,Cars,BEV,2021,sales,68425
Poland,Historical,EV sales,Cars,BEV,2010,sales,15
Poland,Historical,EV sales,Cars,PHEV,2010,sales,1
Poland,Historical,EV sales,Cars,BEV,2011,sales,43
Poland,Historical,EV sales,Cars,BEV,2012,sales,44
Poland,Historical,EV sales,Cars,PHEV,2012,sales,4
Poland,Historical,EV sales,Cars,PHEV,2013,sales,6
Poland,Historical,EV sales,Cars,BEV,2013,sales,45
Poland,Historical,EV sales,Cars,BEV,2014,sales,135
Poland,Historical,EV sales,Cars,PHEV,2014,sales,61
Poland,Historical,EV sales,Cars,PHEV,2015,sales,155
Poland,Historical,EV sales,Cars,BEV,2015,sales,176
Poland,Historical,EV sales,Cars,BEV,2016,sales,329
Poland,Historical,EV sales,Cars,PHEV,2016,sales,383
Poland,Historical,EV sales,Cars,PHEV,2017,sales,683
Poland,Historical,EV sales,Cars,BEV,2017,sales,920
Poland,Historical,EV sales,Cars,BEV,2018,sales,1143
